fn_name,parameters,description,return_statement,c_implementation
rb_tree_node_replace,"RBTree *tree, RBTreeNode *node1, RBTreeNode *node2",,new_root | NULL | new_tree | node | rb_tree_null_value | node->value | 0 | 1 | tree->root_node | node->key | node->children[side] | node->parent | tree->num_nodes,"static void rb_tree_node_replace(RBTree *tree, RBTreeNode *node1,
                                 RBTreeNode *node2)
{
	int side;

	/* Set the node's parent pointer. */
	if (node2 != NULL) {
		node2->parent = node1->parent;
	}

	/* The root node? */
	if (node1->parent == NULL) {
		tree->root_node = node2;
	} else {
		side = rb_tree_node_side(node1);
		node1->parent->children[side] = node2;
	}
}

/* Rotate a section of the tree.  'node' is the node at the top
 * of the section to be rotated.  'direction' is the direction in
 * which to rotate the tree: left or right, as shown in the following
 * diagram:
 *
 * Left rotation:              Right rotation:
 *
 *      B                             D
 *     / \                           / \
 *    A   D                         B   E
 *       / \                       / \
 *      C   E                     A   C

 * is rotated to:              is rotated to:
 *
 *        D                           B
 *       / \                         / \
 *      B   E                       A   D
 *     / \                             / \
 *    A   C                           C   E
 */
static RBTreeNode *rb_tree_rotate(RBTree *tree, RBTreeNode *node,
                                  RBTreeNodeSide direction)
{
	RBTreeNode *new_root;

	/* The child of this node will take its place:
	   for a left rotation, it is the right child, and vice versa. */
	new_root = node->children[1 - direction];

	/* Make new_root the root, update parent pointers. */
	rb_tree_node_replace(tree, node, new_root);

	/* Rearrange pointers */
	node->children[1 - direction] = new_root->children[direction];
	new_root->children[direction] = node;

	/* Update parent references */
	node->parent = new_root;

	if (node->children[1 - direction] != NULL) {
		node->children[1 - direction]->parent = node;
	}

	return new_root;
}

RBTree *rb_tree_new(RBTreeCompareFunc compare_func)
{
	RBTree *new_tree;

	new_tree = malloc(sizeof(RBTree));

	if (new_tree == NULL) {
		return NULL;
	}

	new_tree->root_node = NULL;
	new_tree->num_nodes = 0;
	new_tree->compare_func = compare_func;

	return new_tree;
}

static void rb_tree_free_subtree(RBTreeNode *node)
{
	if (node != NULL) {
		/* Recurse to subnodes */
		rb_tree_free_subtree(node->children[RB_TREE_NODE_LEFT]);
		rb_tree_free_subtree(node->children[RB_TREE_NODE_RIGHT]);

		/* Free this node */
		free(node);
	}
}

void rb_tree_free(RBTree *tree)
{
	/* Free all nodes in the tree */
	rb_tree_free_subtree(tree->root_node);

	/* Free back the main tree structure */
	free(tree);
}

static void rb_tree_insert_case1(RBTree *tree, RBTreeNode *node);
static void rb_tree_insert_case2(RBTree *tree, RBTreeNode *node);
static void rb_tree_insert_case3(RBTree *tree, RBTreeNode *node);
static void rb_tree_insert_case4(RBTree *tree, RBTreeNode *node);
static void rb_tree_insert_case5(RBTree *tree, RBTreeNode *node);

/* Insert case 1: If the new node is at the root of the tree, it must
 * be recolored black, as the root is always black. */
static void rb_tree_insert_case1(RBTree *tree, RBTreeNode *node)
{
	if (node->parent == NULL) {

		/* The root node is black */
		node->color = RB_TREE_NODE_BLACK;

	} else {

		/* Not root */
		rb_tree_insert_case2(tree, node);
	}
}

/* Insert case 2: If the parent of the new node is red, this
 * conflicts with the red-black tree conditions, as both children
 * of every red node are black. */
static void rb_tree_insert_case2(RBTree *tree, RBTreeNode *node)
{
	/* Note that if this function is being called, we already know
	 * the node has a parent, as it is not the root node. */
	if (node->parent->color != RB_TREE_NODE_BLACK) {
		rb_tree_insert_case3(tree, node);
	}
}

/* Insert case 3: If the parent and uncle are both red, repaint them
 * both black and repaint the grandparent red.  */
static void rb_tree_insert_case3(RBTree *tree, RBTreeNode *node)
{
	RBTreeNode *grandparent;
	RBTreeNode *uncle;

	/* Note that the node must have a grandparent, as the parent
	 * is red, and the root node is always black. */
	grandparent = node->parent->parent;
	uncle = rb_tree_node_uncle(node);

	if (uncle != NULL && uncle->color == RB_TREE_NODE_RED) {

		node->parent->color = RB_TREE_NODE_BLACK;
		uncle->color = RB_TREE_NODE_BLACK;
		grandparent->color = RB_TREE_NODE_RED;

		/* Recurse to grandparent */
		rb_tree_insert_case1(tree, grandparent);

	} else {
		rb_tree_insert_case4(tree, node);
	}
}

/* Case 4: If the parent is red, but the uncle is black, we need to do
 * some rotations to keep the tree balanced and complying with the tree
 * conditions.  If the node is on the opposite side relative to its parent
 * as the parent is relative to its grandparent, rotate around the
 * parent.  Either way, we will continue to case 5.
 *
 * eg.
 *
 *         B                              B
 *        / \                            / \
 *       R   B          ->     node ->  R   B
 *        \                            /
 *         R  <- node                 R
 *
 */
void rb_tree_insert_case4(RBTree *tree, RBTreeNode *node)
{
	RBTreeNode *next_node;
	RBTreeNodeSide side;

	/* Note that at this point, by implication from case 3, we know
	 * that the parent is red, but the uncle is black.  We therefore
	 * only need to examine what side the node is on relative
	 * to its parent, and the side the parent is on relative to
	 * the grandparent. */
	side = rb_tree_node_side(node);

	if (side != rb_tree_node_side(node->parent)) {

		/* After the rotation, we will continue to case 5, but
		 * the parent node will be at the bottom. */
		next_node = node->parent;

		/* Rotate around the parent in the opposite direction
		 * to side. */
		rb_tree_rotate(tree, node->parent, 1 - side);
	} else {
		next_node = node;
	}

	rb_tree_insert_case5(tree, next_node);
}

/* Case 5: The node is on the same side relative to its parent as the
 * parent is relative to its grandparent.  The node and its parent are
 * red, but the uncle is black.
 *
 * Now, rotate at the grandparent and recolor the parent and grandparent
 * to black and red respectively.
 *
 *               G/B                 P/B
 *              /   \               /   \
 *           P/R     U/B    ->   N/R     G/R
 *          /   \                       /   \
 *       N/R      ?                   ?      U/B
 *
 */
void rb_tree_insert_case5(RBTree *tree, RBTreeNode *node)
{
	RBTreeNode *parent;
	RBTreeNode *grandparent;
	RBTreeNodeSide side;

	parent = node->parent;
	grandparent = parent->parent;

	/* What side are we, relative to the parent?  This will determine
	 * the direction that we rotate. */
	side = rb_tree_node_side(node);

	/* Rotate at the grandparent, in the opposite direction to side. */
	rb_tree_rotate(tree, grandparent, 1 - side);

	/* Recolor the (old) parent and grandparent. */
	parent->color = RB_TREE_NODE_BLACK;
	grandparent->color = RB_TREE_NODE_RED;
}

RBTreeNode *rb_tree_insert(RBTree *tree, RBTreeKey key, RBTreeValue value)
{
	RBTreeNode *node;
	RBTreeNode **rover;
	RBTreeNode *parent;
	RBTreeNodeSide side;

	/* Allocate a new node */
	node = malloc(sizeof(RBTreeNode));

	if (node == NULL) {
		return NULL;
	}

	/* Set up structure.  Initially, the node is red. */
	node->key = key;
	node->value = value;
	node->color = RB_TREE_NODE_RED;
	node->children[RB_TREE_NODE_LEFT] = NULL;
	node->children[RB_TREE_NODE_RIGHT] = NULL;

	/* First, perform a normal binary tree-style insert. */
	parent = NULL;
	rover = &tree->root_node;

	while (*rover != NULL) {

		/* Update parent */
		parent = *rover;

		/* Choose which path to go down, left or right child */
		if (tree->compare_func(key, (*rover)->key) < 0) {
			side = RB_TREE_NODE_LEFT;
		} else {
			side = RB_TREE_NODE_RIGHT;
		}

		rover = &(*rover)->children[side];
	}

	/* Insert at the position we have reached */
	*rover = node;
	node->parent = parent;

	/* Possibly reorder the tree. */
	rb_tree_insert_case1(tree, node);

	/* Update the node count */
	++tree->num_nodes;

	return node;
}

RBTreeNode *rb_tree_lookup_node(RBTree *tree, RBTreeKey key)
{
	RBTreeNode *node;
	RBTreeNodeSide side;
	int diff;

	node = tree->root_node;

	/* Search down the tree. */
	while (node != NULL) {
		diff = tree->compare_func(key, node->key);

		if (diff == 0) {
			return node;
		} else if (diff < 0) {
			side = RB_TREE_NODE_LEFT;
		} else {
			side = RB_TREE_NODE_RIGHT;
		}

		node = node->children[side];
	}

	/* Not found. */
	return NULL;
}

RBTreeValue rb_tree_lookup(RBTree *tree, RBTreeKey key)
{
	RBTreeNode *node;

	/* Find the node for this key. */
	node = rb_tree_lookup_node(tree, key);

	if (node == NULL) {
		return rb_tree_null_value;
	} else {
		return node->value;
	}
}

void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
{ /* TODO */
}

int rb_tree_remove(RBTree *tree, RBTreeKey key)
{
	RBTreeNode *node;

	/* Find the node to remove. */
	node = rb_tree_lookup_node(tree, key);

	if (node == NULL) {
		return 0;
	}

	rb_tree_remove_node(tree, node);

	return 1;
}

RBTreeNode *rb_tree_root_node(RBTree *tree)
{
	return tree->root_node;
}

RBTreeKey rb_tree_node_key(RBTreeNode *node)
{
	return node->key;
}

RBTreeValue rb_tree_node_value(RBTreeNode *node)
{
	return node->value;
}

RBTreeNode *rb_tree_node_child(RBTreeNode *node, RBTreeNodeSide side)
{
	if (side == RB_TREE_NODE_LEFT || side == RB_TREE_NODE_RIGHT) {
		return node->children[side];
	} else {
		return NULL;
	}
}

RBTreeNode *rb_tree_node_parent(RBTreeNode *node)
{
	return node->parent;
}

RBTreeKey *rb_tree_to_array(RBTree *tree)
{
	/* TODO */
	return NULL;
}

int rb_tree_num_entries(RBTree *tree)
{
	return tree->num_nodes;
}"
rb_tree_insert_case1,"RBTree *tree, RBTreeNode *node",,null,"static void rb_tree_insert_case1(RBTree *tree, RBTreeNode *node)
{
	if (node->parent == NULL) {

		/* The root node is black */
		node->color = RB_TREE_NODE_BLACK;

	} else {

		/* Not root */
		rb_tree_insert_case2(tree, node);
	}
}"
rb_tree_insert_case2,"RBTree *tree, RBTreeNode *node",,null,"static void rb_tree_insert_case2(RBTree *tree, RBTreeNode *node)
{
	/* Note that if this function is being called, we already know
	 * the node has a parent, as it is not the root node. */
	if (node->parent->color != RB_TREE_NODE_BLACK) {
		rb_tree_insert_case3(tree, node);
	}
}"
rb_tree_insert_case3,"RBTree *tree, RBTreeNode *node","Insert case 2: If the parent of the new node is red, this
conflicts with the red-black tree conditions, as both children
of every red node are black.",null,"static void rb_tree_insert_case3(RBTree *tree, RBTreeNode *node)
{
	RBTreeNode *grandparent;
	RBTreeNode *uncle;

	/* Note that the node must have a grandparent, as the parent
	 * is red, and the root node is always black. */
	grandparent = node->parent->parent;
	uncle = rb_tree_node_uncle(node);

	if (uncle != NULL && uncle->color == RB_TREE_NODE_RED) {

		node->parent->color = RB_TREE_NODE_BLACK;
		uncle->color = RB_TREE_NODE_BLACK;
		grandparent->color = RB_TREE_NODE_RED;

		/* Recurse to grandparent */
		rb_tree_insert_case1(tree, grandparent);

	} else {
		rb_tree_insert_case4(tree, node);
	}
}"
rb_tree_insert_case4,"RBTree *tree, RBTreeNode *node",,null,"void rb_tree_insert_case4(RBTree *tree, RBTreeNode *node)
{
	RBTreeNode *next_node;
	RBTreeNodeSide side;

	/* Note that at this point, by implication from case 3, we know
	 * that the parent is red, but the uncle is black.  We therefore
	 * only need to examine what side the node is on relative
	 * to its parent, and the side the parent is on relative to
	 * the grandparent. */
	side = rb_tree_node_side(node);

	if (side != rb_tree_node_side(node->parent)) {

		/* After the rotation, we will continue to case 5, but
		 * the parent node will be at the bottom. */
		next_node = node->parent;

		/* Rotate around the parent in the opposite direction
		 * to side. */
		rb_tree_rotate(tree, node->parent, 1 - side);
	} else {
		next_node = node;
	}

	rb_tree_insert_case5(tree, next_node);
}"
rb_tree_insert_case5,"RBTree *tree, RBTreeNode *node",,null,"void rb_tree_insert_case5(RBTree *tree, RBTreeNode *node)
{
	RBTreeNode *parent;
	RBTreeNode *grandparent;
	RBTreeNodeSide side;

	parent = node->parent;
	grandparent = parent->parent;

	/* What side are we, relative to the parent?  This will determine
	 * the direction that we rotate. */
	side = rb_tree_node_side(node);

	/* Rotate at the grandparent, in the opposite direction to side. */
	rb_tree_rotate(tree, grandparent, 1 - side);

	/* Recolor the (old) parent and grandparent. */
	parent->color = RB_TREE_NODE_BLACK;
	grandparent->color = RB_TREE_NODE_RED;
}"
rb_tree_remove_node,"RBTree *tree, RBTreeNode *node",,null,"
void rb_tree_remove_node(RBTree *tree, RBTreeNode *node)
{ /* TODO */
}"
rb_tree_remove,"RBTree *tree, RBTreeKey key",TODO,0 | 1,"
int rb_tree_remove(RBTree *tree, RBTreeKey key)
{
	RBTreeNode *node;

	/* Find the node to remove. */
	node = rb_tree_lookup_node(tree, key);

	if (node == NULL) {
		return 0;
	}

	rb_tree_remove_node(tree, node);

	return 1;
}"
rb_tree_num_entries,RBTree *tree,TODO,tree->num_nodes,"
int rb_tree_num_entries(RBTree *tree)
{
	return tree->num_nodes;
}"
set_allocate_table,Set *set,Null value that can be returned without creating a local variable,set->table != NULL,"
static int set_allocate_table(Set *set)
{
	/* Determine the table size based on the current prime index.
	 * An attempt is made here to ensure sensible behavior if the
	 * maximum prime is exceeded, but in practice other things are
	 * likely to break long before that happens. */
	if (set->prime_index < set_num_primes) {
		set->table_size = set_primes[set->prime_index];
	} else {
		set->table_size = set->entries * 10;
	}

	/* Allocate the table and initialise to NULL */
	set->table = calloc(set->table_size, sizeof(SetEntry *));

	return set->table != NULL;
}"
set_free_entry,"Set *set, SetEntry *entry",,null,"
static void set_free_entry(Set *set, SetEntry *entry)
{
	/* If there is a free function registered, call it to free the
	 * data for this entry first */
	if (set->free_func != NULL) {
		set->free_func(entry->data);
	}

	/* Free the entry structure */
	free(entry);
}"
set_free,Set *set,,null,"
void set_free(Set *set)
{
	SetEntry *rover;
	SetEntry *next;
	unsigned int i;

	/* Free all entries in all chains */
	for (i = 0; i < set->table_size; ++i) {
		rover = set->table[i];

		while (rover != NULL) {
			next = rover->next;

			/* Free this entry */
			set_free_entry(set, rover);

			/* Advance to the next entry in the chain */
			rover = next;
		}
	}

	/* Free the table */
	free(set->table);

	/* Free the set structure */
	free(set);
}"
set_register_free_function,"Set *set, SetFreeFunc free_func",Free the set structure,null,"
void set_register_free_function(Set *set, SetFreeFunc free_func)
{
	set->free_func = free_func;
}"
set_enlarge,Set *set,,0 | 1,"
static int set_enlarge(Set *set)
{
	SetEntry *rover;
	SetEntry *next;
	SetEntry **old_table;
	unsigned int old_table_size;
	unsigned int old_prime_index;
	unsigned int index;
	unsigned int i;

	/* Store the old table */
	old_table = set->table;
	old_table_size = set->table_size;
	old_prime_index = set->prime_index;

	/* Use the next table size from the prime number array */
	++set->prime_index;

	/* Allocate the new table */
	if (!set_allocate_table(set)) {
		set->table = old_table;
		set->table_size = old_table_size;
		set->prime_index = old_prime_index;

		return 0;
	}

	/* Iterate through all entries in the old table and add them
	 * to the new one */
	for (i = 0; i < old_table_size; ++i) {

		/* Walk along this chain */
		rover = old_table[i];

		while (rover != NULL) {

			next = rover->next;

			/* Hook this entry into the new table */
			index = set->hash_func(rover->data) % set->table_size;
			rover->next = set->table[index];
			set->table[index] = rover;

			/* Advance to the next entry in the chain */
			rover = next;
		}
	}

	/* Free back the old table */
	free(old_table);

	/* Resized successfully */
	return 1;
}"
set_insert,"Set *set, SetValue data",Resized successfully,0 | 1,"
int set_insert(Set *set, SetValue data)
{
	SetEntry *newentry;
	SetEntry *rover;
	unsigned int index;

	/* The hash table becomes less efficient as the number of entries
	 * increases. Check if the percentage used becomes large. */
	if ((set->entries * 3) / set->table_size > 0) {

		/* The table is more than 1/3 full and must be increased
		 * in size */
		if (!set_enlarge(set)) {
			return 0;
		}
	}

	/* Use the hash of the data to determine an index to insert into the
	 * table at. */
	index = set->hash_func(data) % set->table_size;

	/* Walk along this chain and attempt to determine if this data has
	 * already been added to the table */
	rover = set->table[index];

	while (rover != NULL) {

		if (set->equal_func(data, rover->data) != 0) {

			/* This data is already in the set */
			return 0;
		}

		rover = rover->next;
	}

	/* Not in the set.  We must add a new entry. */
	/* Make a new entry for this data */
	newentry = (SetEntry *) malloc(sizeof(SetEntry));

	if (newentry == NULL) {
		return 0;
	}

	newentry->data = data;

	/* Link into chain */
	newentry->next = set->table[index];
	set->table[index] = newentry;

	/* Keep track of the number of entries in the set */
	++set->entries;

	/* Added successfully */
	return 1;
}"
set_remove,"Set *set, SetValue data",Added successfully,"*/
			set_free_entry(set, entry) | 1 | 0","
int set_remove(Set *set, SetValue data)
{
	SetEntry **rover;
	SetEntry *entry;
	unsigned int index;

	/* Look up the data by its hash key */
	index = set->hash_func(data) % set->table_size;

	/* Search this chain, until the corresponding entry is found */
	rover = &set->table[index];

	while (*rover != NULL) {
		if (set->equal_func(data, (*rover)->data) != 0) {

			/* Found the entry */
			entry = *rover;

			/* Unlink from the linked list */
			*rover = entry->next;

			/* Update counter */
			--set->entries;

			/* Free the entry and return */
			set_free_entry(set, entry);

			return 1;
		}

		/* Advance to the next entry */
		rover = &((*rover)->next);
	}

	/* Not found in set */
	return 0;
}"
set_query,"Set *set, SetValue data",Not found in set,1 | 0,"
int set_query(Set *set, SetValue data)
{
	SetEntry *rover;
	unsigned int index;

	/* Look up the data by its hash key */
	index = set->hash_func(data) % set->table_size;

	/* Search this chain, until the corresponding entry is found */
	rover = set->table[index];

	while (rover != NULL) {
		if (set->equal_func(data, rover->data) != 0) {

			/* Found the entry */
			return 1;
		}

		/* Advance to the next entry in the chain */
		rover = rover->next;
	}

	/* Not found */
	return 0;
}"
set_iterate,"Set *set, SetIterator *iter",,null,"
void set_iterate(Set *set, SetIterator *iter)
{
	unsigned int chain;

	iter->set = set;
	iter->next_entry = NULL;

	/* Find the first entry */
	for (chain = 0; chain < set->table_size; ++chain) {

		/* There is a value at the start of this chain */
		if (set->table[chain] != NULL) {
			iter->next_entry = set->table[chain];
			break;
		}
	}

	iter->next_chain = chain;
}"
set_iter_has_more,SetIterator *iterator,,iterator->next_entry != NULL,"
int set_iter_has_more(SetIterator *iterator)
{
	return iterator->next_entry != NULL;
}"
slist_free,SListEntry *list,Null value that can be returned without creating a local variable,null,"
void slist_free(SListEntry *list)
{
	SListEntry *entry;

	/* Iterate over each entry, freeing each list entry, until the
	 * end is reached */
	entry = list;

	while (entry != NULL) {
		SListEntry *next;

		next = entry->next;

		free(entry);

		entry = next;
	}
}"
slist_set_data,"SListEntry *listentry, SListValue data",,null,"
void slist_set_data(SListEntry *listentry, SListValue data)
{
	if (listentry != NULL) {
		listentry->data = data;
	}
}"
slist_remove_entry,"SListEntry **list, SListEntry *entry",,0 | 1,"
int slist_remove_entry(SListEntry **list, SListEntry *entry)
{
	SListEntry *rover;

	/* If the list is empty, or entry is NULL, always fail */
	if (*list == NULL || entry == NULL) {
		return 0;
	}

	/* Action to take is different if the entry is the first in the list */
	if (*list == entry) {

		/* Unlink the first entry and update the starting pointer */
		*list = entry->next;

	} else {

		/* Search through the list to find the preceding entry */
		rover = *list;

		while (rover != NULL && rover->next != entry) {
			rover = rover->next;
		}

		if (rover == NULL) {

			/* Not found in list */
			return 0;

		} else {

			/* rover->next now points at entry, so rover is the
			 * preceding entry. Unlink the entry from the list. */
			rover->next = entry->next;
		}
	}

	/* Free the list entry */
	free(entry);

	/* Operation successful */
	return 1;
}"
slist_sort,"SListEntry **list, SListCompareFunc compare_func",,null,"
void slist_sort(SListEntry **list, SListCompareFunc compare_func)
{
	slist_sort_internal(list, compare_func);
}"
slist_iterate,"SListEntry **list, SListIterator *iter",Not found,null,"
void slist_iterate(SListEntry **list, SListIterator *iter)
{
	/* Start iterating from the beginning of the list. */
	iter->prev_next = list;

	/* We have not yet read the first item. */
	iter->current = NULL;
}"
slist_iter_has_more,SListIterator *iter,We have not yet read the first item.,*iter->prev_next != NULL | iter->current->next != NULL,"
int slist_iter_has_more(SListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we have not read the first entry, the current
		 * item was removed or we have reached the end of the
		 * list.  Use prev_next to determine if we have a next
		 * value to iterate over. */
		return *iter->prev_next != NULL;

	} else {

		/* The current entry has not been deleted.  There
		 * is a next entry if current->next is not NULL. */
		return iter->current->next != NULL;
	}
}"
slist_iter_remove,SListIterator *iter,,null,"
void slist_iter_remove(SListIterator *iter)
{
	if (iter->current == NULL || iter->current != *iter->prev_next) {

		/* Either we have not yet read the first item, we have
		 * reached the end of the list, or we have already removed
		 * the current value.  Either way, do nothing. */
	} else {

		/* Remove the current entry */
		*iter->prev_next = iter->current->next;
		free(iter->current);
		iter->current = NULL;
	}
}"
sortedarray_index_of,"SortedArray *sortedarray, SortedArrayValue data",,-1 | (int) index,"int sortedarray_index_of(SortedArray *sortedarray, SortedArrayValue data)
{
	unsigned int left, right, index;
	int order;

	if (sortedarray == NULL) {
		return -1;
	}

	left = 0;
	right = sortedarray->length;
	index = 0;

	/* safe subtract 1 of right without going negative */
	right = (right > 1) ? right : 0;

	while (left != right) {
		index = (left + right) / 2;
		order = sortedarray->cmp_func(data, sortedarray->data[index]);

		if (order < 0) {
			/* value should be left */
			right = index;
		} else if (order > 0) {
			/* value should be right */
			left = index + 1;
		} else {
			return (int) index;
		}
	}

	return -1;
}"
sortedarray_clear,SortedArray *sortedarray,,null,"
void sortedarray_clear(SortedArray *sortedarray)
{
	/* set length to 0 */
	sortedarray->length = 0;
}"
trie_insert_rollback,"Trie *trie, unsigned char *key",,null,"static void trie_insert_rollback(Trie *trie, unsigned char *key)
{
	TrieNode *node;
	TrieNode **prev_ptr;
	TrieNode *next_node;
	TrieNode **next_prev_ptr;
	unsigned char *p;

	/* Follow the chain along.  We know that we will never reach the
	 * end of the string because trie_insert never got that far.  As a
	 * result, it is not necessary to check for the end of string
	 * delimiter (NUL) */
	node = trie->root_node;
	prev_ptr = &trie->root_node;
	p = key;

	while (node != NULL) {

		/* Find the next node now. We might free this node. */
		next_prev_ptr = &node->next[(unsigned char) *p];
		next_node = *next_prev_ptr;
		++p;

		/* Decrease the use count and free the node if it
		 * reaches zero. */
		--node->use_count;

		if (node->use_count == 0) {
			free(node);

			if (prev_ptr != NULL) {
				*prev_ptr = NULL;
			}

			next_prev_ptr = NULL;
		}

		/* Update pointers */
		node = next_node;
		prev_ptr = next_prev_ptr;
	}
}"
trie_value_is_null,TrieValue *v,,"!memcmp(v, &trie_null_value, sizeof(TrieValue))","
static int trie_value_is_null(TrieValue *v)
{
	return !memcmp(v, &trie_null_value, sizeof(TrieValue));
}"
trie_insert,"Trie *trie, char *key, TrieValue value",,"0 | success. */
	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = value | 1","
int trie_insert(Trie *trie, char *key, TrieValue value)
{
	TrieNode **rover;
	TrieNode *node;
	char *p;
	int c;

	/* Cannot insert NULL values */
	if (trie_value_is_null(&value)) {
		return 0;
	}

	/* Search to see if this is already in the tree */
	node = trie_find_end(trie, key);

	/* Already in the tree? If so, replace the existing value and
	 * return success. */
	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = value;
		return 1;
	}

	/* Search down the trie until we reach the end of string,
	 * creating nodes as necessary */
	rover = &trie->root_node;
	p = key;

	for (;;) {

		node = *rover;

		if (node == NULL) {

			/* Node does not exist, so create it */
			node = (TrieNode *) calloc(1, sizeof(TrieNode));

			if (node == NULL) {

				/* Allocation failed.  Go back and undo
				 * what we have done so far. */
				trie_insert_rollback(trie,
				                     (unsigned char *) key);

				return 0;
			}

			node->data = trie_null_value;

			/* Link in to the trie */
			*rover = node;
		}

		/* Increase the node use count */
		++node->use_count;

		/* Current character */
		c = (unsigned char) *p;

		/* Reached the end of string?  If so, we're finished. */
		if (c == '\0') {

			/* Set the data at the node we have reached */
			node->data = value;

			break;
		}

		/* Advance to the next node in the chain */
		rover = &node->next[c];
		++p;
	}

	return 1;
}

int trie_insert_binary(Trie *trie, unsigned char *key, int key_length,
                       TrieValue value)
{
	TrieNode **rover;
	TrieNode *node;
	int p, c;

	/* Cannot insert NULL values */
	if (trie_value_is_null(&value)) {
		return 0;
	}

	/* Search to see if this is already in the tree */
	node = trie_find_end_binary(trie, key, key_length);

	/* Already in the tree? If so, replace the existing value and
	 * return success. */
	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = value;
		return 1;
	}

	/* Search down the trie until we reach the end of string,
	 * creating nodes as necessary */
	rover = &trie->root_node;
	p = 0;

	for (;;) {

		node = *rover;

		if (node == NULL) {

			/* Node does not exist, so create it */
			node = (TrieNode *) calloc(1, sizeof(TrieNode));

			if (node == NULL) {

				/* Allocation failed.  Go back and undo
				 * what we have done so far. */
				trie_insert_rollback(trie, key);

				return 0;
			}

			node->data = trie_null_value;

			/* Link in to the trie */
			*rover = node;
		}

		/* Increase the node use count */
		++node->use_count;

		/* Current character */
		c = (unsigned char) key[p];

		/* Reached the end of string?  If so, we're finished. */
		if (p == key_length) {

			/* Set the data at the node we have reached */
			node->data = value;

			break;
		}

		/* Advance to the next node in the chain */
		rover = &node->next[c];
		++p;
	}

	return 1;
}"
trie_insert_binary,"Trie *trie, unsigned char *key, int key_length, TrieValue value",,"0 | success. */
	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = value | 1","
int trie_insert_binary(Trie *trie, unsigned char *key, int key_length,
                       TrieValue value)
{
	TrieNode **rover;
	TrieNode *node;
	int p, c;

	/* Cannot insert NULL values */
	if (trie_value_is_null(&value)) {
		return 0;
	}

	/* Search to see if this is already in the tree */
	node = trie_find_end_binary(trie, key, key_length);

	/* Already in the tree? If so, replace the existing value and
	 * return success. */
	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = value;
		return 1;
	}

	/* Search down the trie until we reach the end of string,
	 * creating nodes as necessary */
	rover = &trie->root_node;
	p = 0;

	for (;;) {

		node = *rover;

		if (node == NULL) {

			/* Node does not exist, so create it */
			node = (TrieNode *) calloc(1, sizeof(TrieNode));

			if (node == NULL) {

				/* Allocation failed.  Go back and undo
				 * what we have done so far. */
				trie_insert_rollback(trie, key);

				return 0;
			}

			node->data = trie_null_value;

			/* Link in to the trie */
			*rover = node;
		}

		/* Increase the node use count */
		++node->use_count;

		/* Current character */
		c = (unsigned char) key[p];

		/* Reached the end of string?  If so, we're finished. */
		if (p == key_length) {

			/* Set the data at the node we have reached */
			node->data = value;

			break;
		}

		/* Advance to the next node in the chain */
		rover = &node->next[c];
		++p;
	}

	return 1;
}

int trie_remove_binary(Trie *trie, unsigned char *key, int key_length)
{
	TrieNode *node;
	TrieNode *next;
	TrieNode **last_next_ptr;
	int p, c;

	/* Find the end node and remove the value */
	node = trie_find_end_binary(trie, key, key_length);

	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = trie_null_value;
	} else {
		return 0;
	}

	/* Now traverse the tree again as before, decrementing the use
	 * count of each node.  Free back nodes as necessary. */
	node = trie->root_node;
	last_next_ptr = &trie->root_node;
	p = 0;

	for (;;) {

		/* Find the next node */
		c = (unsigned char) key[p];
		next = node->next[c];

		/* Free this node if necessary */
		--node->use_count;

		if (node->use_count <= 0) {
			free(node);

			/* Set the ""next"" pointer on the previous node to NULL,
			 * to unlink the freed node from the tree.  This only
			 * needs to be done once in a remove.  After the first
			 * unlink, all further nodes are also going to be
			 * free'd. */
			if (last_next_ptr != NULL) {
				*last_next_ptr = NULL;
				last_next_ptr = NULL;
			}
		}

		/* Go to the next character or finish */
		if (p == key_length) {
			break;
		} else {
			++p;
		}

		/* If necessary, save the location of the ""next"" pointer
		 * so that it may be set to NULL on the next iteration if
		 * the next node visited is freed. */
		if (last_next_ptr != NULL) {
			last_next_ptr = &node->next[c];
		}

		/* Jump to the next node */
		node = next;
	}"
